,ItemName,Limit-L,Limit-H,Bias1,Bias2,RV,SeqItemName,SeqLimit-L,SeqLimit-H,SeqBias1,SeqBias2,SeqRV
1,IEB,0.5u,30u,0.45,99.0u,RV,2,2,3,2,2,2
3,ICBO,,1.0u,160.0,10.0u,,4,,4,4,4,4
4,ICER,,1.0u,150.0,10.0u,,5,,5,5,5,5
5,IEB,,1.0u,5.0,10.0u,,6,,6,6,6,6
6,BVCBO,160,,100.0u,400.0,,7,7,,7,7,7
7,BVCEO,150,,30.0m,400.0,,8,8,,8,8,8
8,BVEB,5,,100.0u,100.0,,9,9,,9,9,9
9,BVEB,1,,5.0m,100.0,,10,10,,10,10,10
10,BVEB,1,,15.0m,100.0,,11,11,,11,11,11
13,DIVID,10,200,12.0,13.0,,14,15,14,14,14,14
15,VFBE,,2.8,8.0,0.0p,,16,,16,16,16,16
16,HFE,,4.0k,4.0,0.1,,17,,17,17,17,17
17,HFE,3.0k,15.0k,4.0,1.0,,18,19,18,18,18,18
19,HFE,15k,30.0k,4.0,7.0,,20,21,20,20,20,20
21,HFE,5k,20.0k,50.0,1.0,,22,23,22,22,22,22
23,HFE,8k,35.0k,20.0,3.5,,24,25,24,24,24,24
25,VCESAT,,2.4,1.0,1.0m,,26,,26,26,26,26
26,VCESAT,,2.4,7.0,7.0m,,27,,27,27,27,27
27,VBESAT,,2.8,1.0,1.0m,,28,,28,28,28,28
28,VBESAT,,2.8,7.0,7.0m,,29,,29,29,29,29
29,BTON,,1.5,1.0,25.0m,,30,,30,30,30,30
30,ICBO,,0.5u,140.0,5.0u,,31,,31,31,31,31
