ItemName,Limit-L,Limit-H,Bias1,Bias2,RV,SeqItemName,SeqLimit-L,SeqLimit-H,SeqBias1,SeqBias2,SeqRV
VTH,1,9,250.0u,0.0p,,2,3,2,2,2,2
VTH,4.7,6.7,2.0m,0.0p,,4,5,4,4,4,4
ISGS,,100u,40.0,1.0m,,6,,6,6,6,6
ISGS,,100u,40.0,1.0m,RV,7,,7,7,7,7
ISGS,,95n,20.0,1.0u,,8,,8,8,8,8
ISGS,,95n,20.0,1.0u,RV,9,,9,9,9,9
ICES,,1u,600.0,5.0u,,10,,10,10,10,10
BVCES,630,,250.0u,900.0,,11,11,,11,11,11
BVCES,630,,1.0m,900.0,,12,12,,12,12,12
ABSDEL,,30,12.0,11.0,,13,,13,13,13,13
VTH,4.7,6.7,4.0m,0.0p,,14,15,14,14,14,14
ABSDEL,,0.3,14.0,4.0,,16,,16,16,16,16
VDSON,1.4,2.2,20.0,15.0,,17,18,17,17,17,17
VFEC,0.7,1.3,2.0,0.0p,,19,20,19,19,19,19
VFEC,0.9,2.7,20.0,0.0p,,21,22,21,21,21,21
ICES,,1u,600.0,5.0u,,23,,23,23,23,23
ISGS,,95n,20.0,1.0u,,24,,24,24,24,24
ISGS,,95n,20.0,1.0u,RV,25,,25,25,25,25
